TASE	KONTO NR	VALUUTA	KONTO NIMETUS	TÜÜP	LIIK
6	113035	EEK	Muud masinad ja seadmed soetusmaksumuses	Detailne	Aktiva
6	113036	EEK	Muude masinate ja seadmete akumuleeritud kulum (-)	Detailne	Aktiva
5	11304	EEK	Muu materiaalne põhivara	Detailne	Aktiva
5	11305	EEK	Lõpetamata projektid	Detailne	Aktiva
5	11306	EEK	Ettemaksed põhivara eest	Detailne	Aktiva
4	1140	EEK	Immateriaalne põhivara	Koond	Aktiva
5	11401	EEK	Firmaväärtus	Detailne	Aktiva
5	11402	EEK	Arenguväljaminekud	Detailne	Aktiva
5	11403	EEK	Arvuti tarkvara, patendid, litsentsid, kaubamärgid ja kontsessioonid	Detailne	Aktiva
5	11404	EEK	Muu immateriaalne põhivara	Detailne	Aktiva
5	11405	EEK	Lõpetamata projektid ja ettemaksed im. Põhivara eest	Detailne	Aktiva
