#ver@1.12
TASE	KONTO NR	VALUUTA	KONTO NIMETUS	KLASS	TÜÜP	Bilansirida	Bilansigrupp	Kasumiaruande rida	Kasumiaruande grupp
5	10514	EUR	Rohumaa	Detailne	Aktiva	1.1.5.1.5	Bioloogilised varad		
3	106	EUR	MÜÜGIOOTEL PÕHIVARA	Üld	Aktiva	1.1.6	MÜÜGIOOTEL PÕHIVARA KOKKU		
4	1061	EUR	Materiaalse ja immateriaalse põhivara objektid, mis müüakse lähima 12 kuu jooksul	Koond	Aktiva	1.1.6.1	Müügiootel põhivara		
5	10610	EUR	Materiaalne põhivara müügiks	Detailne	Aktiva	1.1.6.1.1	Müügiootel põhivara		
5	10611	EUR	Immateriaalne põhivara müügiks	Detailne	Aktiva	1.1.6.1.2	Müügiootel põhivara		
2	11	EUR	PÕHIVARA	Üld	Aktiva	1.2	PÕHIVARAD KOKKU		
3	110	EUR	FINANTSINVESTEERINGUD	Üld	Aktiva	1.2.1	FINANTSINVESTEERINGUD KOKKU		
4	1101	EUR	Mitte kauplemiseesmärgil hoitavad väärtpaberid	Koond	Aktiva	1.2.1.1	Finantsinvesteeringud		
5	11010	EUR	Tütarettevõtjate aktsiad või osad	Detailne	Aktiva	1.2.1.1.1	Finantsinvesteeringud		
5	11011	EUR	Sidusettevõtjate aktsiad või osad	Detailne	Aktiva	1.2.1.1.2	Finantsinvesteeringud		
4	1102	EUR	Muud pikaajalised finantsinvesteeringud	Koond	Aktiva	1.2.1.2	Finantsinvesteeringud		
5	11020	EUR	Aktsiad ja osad	Detailne	Aktiva	1.2.1.2.1	Finantsinvesteeringud		
5	11021	EUR	Fondiosakud	Detailne	Aktiva	1.2.1.2.2	Finantsinvesteeringud		
5	11022	EUR	Võlakirjad	Detailne	Aktiva	1.2.1.2.3	Finantsinvesteeringud		
3	111	EUR	NÕUDED JA ETTEMAKSED	Üld	Aktiva	1.2.2	NÕUDED JA ETTEMAKSED KOKKU		
4	1110	EUR	Muud pikaajalised nõuded	Koond	Aktiva	1.2.2.1	Nõuded ja ettemaksed		
5	11100	EUR	Laenunõuded	Detailne	Aktiva	1.2.2.1.1	Nõuded ja ettemaksed		
5	11101	EUR	Intressinõuded	Detailne	Aktiva	1.2.2.1.2	Nõuded ja ettemaksed		
5	11102	EUR	Dividendinõuded	Detailne	Aktiva	1.2.2.1.3	Nõuded ja ettemaksed		
5	11103	EUR	Viitlaekumised	Detailne	Aktiva	1.2.2.1.4	Nõuded ja ettemaksed		
5	11104	EUR	Muud pikaajalised nõuded	Detailne	Aktiva	1.2.2.1.5	Nõuded ja ettemaksed		
4	1111	EUR	Pikaajalised ettemaksed teenuste eest	Koond	Aktiva	1.2.2.2	Nõuded ja ettemaksed		
5	11110	EUR	PA-d Tulevaste perioodide kulud	Detailne	Aktiva	1.2.2.2.1	Nõuded ja ettemaksed		
5	11111	EUR	Muud PA-lt makstud ettemaksed	Detailne	Aktiva	1.2.2.2.2	Nõuded ja ettemaksed		
3	112	EUR	KINNISVARAINVESTEERINGUD	Üld	Aktiva	1.2.3	KINNISVARAINVESTEERINGUD KOKKU		
4	1121	EUR	Renditulu teenimise või väärtuse kasvu eesmärgil hoitav maa	Koond	Aktiva	1.2.3.1	Kinnisvarainvesteeringud		
5	11210	EUR	Maa .......... (kinnisvarainvesteering)	Detailne	Aktiva	1.2.3.1.1	Kinnisvarainvesteeringud		
4	1122	EUR	Renditulu teenimise või väärtuse kasvu eesmärgil hoitavad hooned	Koond	Aktiva	1.2.3.2	Kinnisvarainvesteeringud		
5	11220	EUR	Hoone ........ (kinnisvarainvesteering)	Detailne	Aktiva	1.2.3.2.1	Kinnisvarainvesteeringud		
3	113	EUR	MATERIAALNE PÕHIVARA	Üld	Aktiva	1.2.4	MATERIAALNE PÕHIVARA KOKKU		
4	1130	EUR	Materiaalne põhivara	Koond	Aktiva	1.2.4.1	Materiaalne põhivara		
5	11301	EUR	Maa	Detailne	Aktiva	1.2.4.1.1	Materiaalne põhivara		
5	11302	EUR	Hooned ja rajatised	Detailne	Aktiva	1.2.4.1.2	Materiaalne põhivara		
6	113021	EUR	Hooned ja rajatised soetusmaksumuses	Detailne	Aktiva	1.2.4.1.2.1	Materiaalne põhivara		
6	113022	EUR	Hoonete ja rajatiste akumuleeritud kulum (-)	Detailne	Aktiva	1.2.4.1.2.2	Materiaalne põhivara		
5	11303	EUR	Masinad ja seadmed	Detailne	Aktiva	1.2.4.1.3	Materiaalne põhivara		
6	113031	EUR	Transpordivahendid soetusmaksumuses	Detailne	Aktiva	1.2.4.1.3.1	Materiaalne põhivara		
6	113032	EUR	Transpordivahendite akumuleeritud kulum (-)	Detailne	Aktiva	1.2.4.1.3.2	Materiaalne põhivara		
6	113033	EUR	Arvutid ja arvutisüsteemid soetusmaksumuses	Detailne	Aktiva	1.2.4.1.3.3	Materiaalne põhivara		
6	113034	EUR	Arvutite ja arvutisüsteemide akumuleeritud kulum (-)	Detailne	Aktiva	1.2.4.1.3.4	Materiaalne põhivara		
6	113035	EUR	Muud masinad ja seadmed soetusmaksumuses	Detailne	Aktiva	1.2.4.1.3.5	Materiaalne põhivara		
6	113036	EUR	Muude masinate ja seadmete akumuleeritud kulum (-)	Detailne	Aktiva	1.2.4.1.3.6	Materiaalne põhivara		
5	11304	EUR	Muu materiaalne põhivara	Detailne	Aktiva	1.2.4.1.4	Materiaalne põhivara		
5	11305	EUR	Lõpetamata projektid	Detailne	Aktiva	1.2.4.1.5	Materiaalne põhivara		
5	11306	EUR	Ettemaksed põhivara eest	Detailne	Aktiva	1.2.4.1.6	Materiaalne põhivara		
3	114	EUR	BIOLOOGILISED VARAD	Üld	Aktiva	1.2.5	BIOLOOGILISED VARAD KOKKU		
4	1140	EUR	Bioloogilised varad (pikaajalised)	Koond	Aktiva	1.2.5.1	Bioloogilised varad		
5	11401	EUR	Bioloogilised varad (pikaajalised) ....	Detailne	Aktiva	1.2.5.1.1	Bioloogilised varad		
3	115	EUR	IMMATERIAALNE PÕHIVARA	Üld	Aktiva	1.2.6	IMMATERIAALNE PÕHIVARA KOKKU		
4	1150	EUR	Immateriaalne põhivara	Koond	Aktiva	1.2.6.1	Immateriaalne põhivara		
5	11501	EUR	Firmaväärtus	Detailne	Aktiva	1.2.6.1.1	Immateriaalne põhivara		
5	11502	EUR	Arenguväljaminekud	Detailne	Aktiva	1.2.6.1.2	Immateriaalne põhivara		
5	11503	EUR	Arvuti tarkvara, patendid, litsentsid, kaubamärgid ja kontsessioonid	Detailne	Aktiva	1.2.6.1.3	Immateriaalne põhivara		
5	11504	EUR	Muu immateriaalne põhivara	Detailne	Aktiva	1.2.6.1.4	Immateriaalne põhivara		
5	11505	EUR	Lõpetamata projektid ja ettemaksed im. Põhivara eest	Detailne	Aktiva	1.2.6.1.5	Immateriaalne põhivara		
1	2	EUR	KOHUSTUSED JA OMAKAPITAL	Üld	Passiva	2	KOHUSTUSED JA OMAKAPITAL KOKKU		
2	20	EUR	KOHUSTUSED	Üld	Passiva	2.1	KOHUSTUSED KOKKU		
3	201	EUR	LÜHIAJALISED KOHUSTUSED	Üld	Passiva	2.1.1	LÜHIAJALISED KOHUSTUSED KOKKU		
4	2010	EUR	Laenukohustused	Koond	Passiva	2.1.1.1	Laenukohustused		
5	20100	EUR	Tagatiseta laenukohustused	Detailne	Passiva	2.1.1.1.1	Laenukohustused		
5	20101	EUR	Lühiajalised võlakirjad	Detailne	Passiva	2.1.1.1.2	Laenukohustused		
5	20102	EUR	Pikaajaliste pangalaenude tagasimaksed järgmisel perioodil	Detailne	Passiva	2.1.1.1.3	Laenukohustused		
5	20103	EUR	Pikaajaliste kapitalirentide tagasimaksed järgmisel perioodil	Detailne	Passiva	2.1.1.1.4	Laenukohustused		
4	2011	EUR	Võlad ja ettemaksed	Koond	Passiva	2.1.1.2	Võlad ja ettemaksed		
5	20110	EUR	Võlad tarnijatele	Detailne	Passiva	2.1.1.2.1	Võlad ja ettemaksed		
